place_id,place_name,latitude,longitude,address,zip_code
ChIJm7fFSSPTD4gRkveYFp0Vv7E,decolores restaurant,41.85918260635193,-87.64682982484354,1626 s halsted st ,60608
ChIJR1cBLqQsDogRchKXGZ0eHJQ,the park grill,41.88238074088729,-87.62422863136194,11-35 n michigan ave ,60602
ChIJhQ25zv7RD4gRZ83l2WoOIho,"cafe utjeha, inc.",41.97918308087692,-87.69281717734684,5350 n lincoln ave ,60625
ChIJQaY-iqfTD4gRjfDTYAj9Ny8,chitown sandwich club,41.935452917475686,-87.64686341693728,2921 n clark st ,60657
ChIJYYo9vWMsDogR1xQ6eaSVPGw,wentworth seafood house,41.852023150198406,-87.63184844304722,2229 s wentworth ave ,60616
ChIJY3QbmHcmDogRacZAlolQ-7Y,fish market inc.,41.70737498198745,-87.61694603288984,242 e 103rd st ,60628
ChIJ2bwlbP3RD4gR_As9_RfsAeo,cafe rafaelo inc.,41.984079929039225,-87.69649182480227,5645 n lincoln ave ,60659
ChIJaVaWsbEtDogR_ChZZlB6eQM,kaliflower,41.88754294139151,-87.62440700245573,333 n michigan ave ,60601
ChIJ2z1ZLrPTD4gRhQUkbvnmUJk,rizzo's bar & inn,41.94868252462365,-87.65787955259802,3658 n clark st ,60613
ChIJCweX2p_SD4gRp-0TlpIkyMc,la strada cafe,41.9182165137188,-87.69707480291271,2023 n california ave ,60647
ChIJgyVnGiEuDogRVqqw7l2VJxg,"taqueria 4 hermanos corp.,",41.79378362283587,-87.69477733434331,2820 w 55th st ,60632
ChIJu8gVRBcuDogRaHtSX4g5TY0,taqueria jamay,41.80122254666395,-87.686745425122,2500 w 51st st ,60632
ChIJcfep5gExDogRZbUlaHQQehA,a v anthony's,41.77855839542932,-87.7406439306012,4720 w 63rd st ,60629
ChIJ1eUUAojMD4gRtxwibG4nUSg,central gyros corp,41.93758152034964,-87.76631489179633,3127 n central ave ,60634
ChIJowrmtf_SD4gRfC5aB3s-E8Q,patsy's place,41.933218475082285,-87.65942136953329,2825 n lincoln ave ,60657
ChIJAW4lTUnSD4gRPc_AfkochmY,bodega sur,41.950458472812436,-87.66396415892734,3755 n southport ave ,60613
ChIJ96_QzLPTD4gRUFIpFqZi9Tk,wrigleyville rooftop,41.94912462529275,-87.6561243360456,1044 w waveland ave ,60613
ChIJs9Tjh68sDogRW9bZAZ-Xrf4,capriotti's sandwich shop,41.885353703982936,-87.62641328540737,180 n wabash ave ,60601
ChIJL8waKqbRD4gRS9kp-srrPQ8,rice thai cafe,42.00488091989163,-87.6610107113438,6744 n sheridan rd ,60626
