place_id,place_name,rating,total_number_of_ratings,price_level,address,city,zip_code
ChIJcWh97kfJD4gR9zRthArTV6A,superdawg drive-in,4.5,2941,1,6363 n milwaukee ave,chicago,60646
ChIJD8OBkdcsDogRxVk2nPDC6-g,pizzeria del mercato,4,27,2,1154 w fulton market,chicago,60607
ChIJVSqYBt3RD4gRYGhqSbNd4II,khan barbeque restaurant,3.9,569,2,2401 w devon ave,chicago,60659-1909
ChIJeym-q3EtDogRPbhJ8DgEfOk,ballast point brewing chicago,4.3,291,2,212 n green st,chicago,60607
ChIJOxXGyFAtDogR7u-PLnGpdPM,lao peng you,4.9,10,nan,2020 w chicago ave,chicago,60622
ChIJ5Rvh3VLSD4gR-ctsHolPXjs,two hearted queen,4.8,333,1,1201 w roscoe st,chicago,60657-1423
ChIJs80S9bklDogR4mTfbmcb9gs,jamaican gates restaurant chicago,3.9,222,2,10226 s halsted st,chicago,60628
ChIJuZtDXFHTD4gRXbUgtM91NIc,levy,3.9,10,nan,980 n michigan ave,chicago,60611-4501
ChIJ3b--t57SD4gRPhcckb2w6wg,taqueria los comales,3.7,505,1,2148 n milwaukee ave,chicago,60647
ChIJiUY-tMcsDogR2tYKEYjRn5g,ej sushi,3.3,6,nan,131 n clinton st,chicago,60661
ChIJB6snzv3MD4gROatXkRBx7LA,"martha's fresh grill ecuadorian, colombian, and international cuisine",4,121,2,5958 w addison st,chicago,60639
ChIJuZtDXFHTD4gRXbUgtM91NIc,levy,3.9,10,nan,980 n michigan ave,chicago,60611-4501
ChIJJ1U7SsYsDogR52EkVJFBDzI,le pain quotidien,4.3,87,2,135 n clinton st,chicago,60661
ChIJJ5i7xP8sDogRZHQ5geS87d8,punch house,4.5,280,2,1227 w 18th st,chicago,60608
ChIJSTxnvclIQIgR_ZCIncsrd5E,jupiter coffee & donuts,4.7,334,1,fairfield,45014
ChIJP8PLLfLSD4gRzo2BPk1tiQg,taco bell,3.9,706,1,2575 n clybourn ave,chicago,60614
ChIJIZeRiaIsDogRwH1eY2uKRio,beezzee fresh food,4.3,222,2,424 s wabash ave,chicago,60605
ChIJgeJXTN9KbDkRCS7yDDrG4Qw,jaipur,nan,nan,nan,jaipur
ChIJMxmsexItDogRAC6u3uKK1FY,illinois center for rehabilitation and education,4.4,9,nan,1950 roosevelt rd,chicago,60608-1245
ChIJDdJ9yqjTD4gR8hwIA_w6Dlc,poke poké,4.7,104,1,802 w belmont ave,chicago,60657
ChIJbcMZWHT3DogRxF6nDoMXQsg,lido builders inc,nan,nan,nan,4292 stableford ln,naperville,60564-9770
ChIJwcMQoK_TD4gRA_2Hx7qSuu4,nookies tree,4.4,257,2,3334 n halsted st,chicago,60657-2425
ChIJm1MK2rotDogRUDJC6QVaPMA,harold’s chicken #88,4.7,6,nan,1450 s michigan ave,chicago,60605
ChIJMaqNJk3JD4gRwSJqUJRv2-o,smak-tak! polish restaurant,4.7,245,1,5961 n elston ave,chicago,60646
ChIJ3V69u7fTD4gRV3EyfyXDnmY,windy city gyros,4.3,591,1,3932 n broadway,chicago,60613-3037
ChIJnehl07nND4gROaw-ONd2Eb8,independence tap,4.5,126,1,3932 w irving park rd,chicago,60618
ChIJocxdT6osDogRDhLvXIwloUY,halsted street deli and bagel,3.3,12,nan,541 n fairbanks ct,chicago,60611
ChIJyaEwrW8tDogRxoGYX687qvE,lou malnati's pizzeria,4.5,14,nan,410 michigan ave,chicago,60611
ChIJY473WcbSD4gRUo5DhCPezNs,the wormhole coffee,4.6,1249,1,1462 n milwaukee ave,chicago,60622-9225
ChIJf7wA2gHTD4gRdVIS7dWafkk,sarpino’s pizzeria,4.1,169,2,1149 w diversey pkwy,chicago,60614
ChIJ1wfVjqgtDogRG4qUJkqHKkg,shu tin xia,4.6,13,nan,2428 s wallace st,chicago,60616
ChIJs2Tl_BzTD4gRJmzetdts-vQ,cafe bonne sante,5,2,nan,2217 n halsted st,chicago,60614
ChIJ908aKunTD4gRGsTOB-Hmm2Q,etta,4.7,380,nan,1840 w north ave,chicago,60622
ChIJXyqg9e_PD4gRVSt9Npl1D0U,shinwari grill,4.4,69,nan,2948 w devon ave,chicago,60659
ChIJjZgBcSe0D4gR3SY0WFbtMY8,ice bar,3.3,7,nan,10000 w o'hare ave l,chicago,60666
ChIJW2yhfrcsDogRrYdNzjhUh8Q,blackwood bbq - lake street,4.5,463,1,307 w lake st,chicago,60606
ChIJVVAbbHbwqIkR3JfaN5abZAA,emerald isle,nan,nan,nan,emerald isle,28594
ChIJq8XcsKjTD4gR3gpb-WSH15c,peking chinese kitchen,3.6,72,1,3167 n halsted st,chicago,60657
