,place_id,place_name,latitude,longitude,address,zip_code,rating,total_number_of_ratings
39,ChIJN1vshn7ND4gRUJtD382NSHA,masa azul,41.93196913588585,-87.70013311819626,2901 w diversey ave,60647.0,4.6,267.0
40,ChIJ5dZAOAYoDogRr_Y0nk0d7lU,harold's chicken shack ,41.73637382027632,-87.62723156456728,100 w 87th st,60620.0,3.9,1021.0
51,ChIJk9y3ZiDND4gRqJBU4SN8tOA,frida's pizza corporation,41.9385394320182,-87.7606308007806,5337 w belmont ave,60641.0,4.5,19.0
53,ChIJT52lfdkvDogRQ3U6t5cF0HE,onesti pizzeria inc,41.76443416454271,-87.69279450732277,2755 w 71st st,60629.0,3.1,68.0
56,ChIJ53HcncLSD4gRRiSbj06ahKw,cortland's garage,41.915974566321076,-87.66962157196224,1645 w cortland st,60622.0,4.2,288.0
57,ChIJwWCKPpvSD4gR0yAwOZi2y6E,cherubs 1,41.92497651650807,-87.69116242232869,2524 w fullerton ave,60647.0,4.6,61.0
58,ChIJmYibGeXND4gR7VFs8DnaBE8,taqueria el dorado ,41.96833532113604,-87.70886984436869,3209 w lawrence ave,60625.0,4.0,102.0
62,ChIJgda8oQPRD4gRp0clC3sSS8c,andhradarbar,41.997897013484966,-87.68658605962808,2240-2242 w devon ave,60659.0,4.5,102.0
63,ChIJuSHgkZfSD4gRMhgH9emwC7g,lazo's tacos,41.917676497980096,-87.6872657017977,2003-2011 n western ave,60647.0,3.9,1124.0
69,ChIJpWTWK4vND4gRlZtaoqPlTwM,taqueria las flores,41.975805123578695,-87.7132619526397,3352-3354 w foster ave,60625.0,4.4,13.0
70,ChIJndCu0MIsDogRuc-ELT_6cw0,chinese yum yum,41.87783134486316,-87.64764834758425,809 w jackson blvd,60607.0,3.5,140.0
71,ChIJEz7d07_RD4gRaOoi0-qF4cU,bismillah restaurant,41.99778802851346,-87.69280878916278,2510 w devon ave,60659.0,4.3,261.0
72,ChIJizNZgJ22D4gRWbn0oN4SKGA,tortas frontera,42.008536400868735,-87.91442843927048,11601 w touhy ave,60666.0,4.3,1311.0
73,ChIJiy698YswDogRd7IAS81kOAY,wendy's,41.75466012439375,-87.7413847586052,7601 s cicero ave,60652.0,2.9,418.0
74,ChIJ0c5uLLbSD4gREt5-41edUc0,mirai sushi,41.90328489854517,-87.6781414560568,2020 w division st,60622.0,4.4,123.0
82,ChIJE6NfZ67SD4gRjZO9aR-80PM,innjoy,41.90304415750275,-87.67927089988581,2051 w division st,60622.0,4.2,281.0
83,ChIJx4b-6TTND4gRuFNqWx9ydO8,bonita's restaurant inc,41.91722351626528,-87.73059969166016,4138 w armitage ave,60639.0,5.0,6.0
84,ChIJ6f9YYqTSD4gR1Al4SlCmveM,subway,41.91039897821153,-87.6902068285586,2512 w north ave,60647.0,3.8,61.0
85,ChIJqaCAFCMxDogRy6lcGqlGVkA,taco bell ,41.795362472352096,-87.7233692082325,5350 s pulaski rd,60632.0,4.2,34.0
86,ChIJ5ehT21rRD4gRYMyP4Bd66Qk,chicago taichi bubble tea,42.00558686485114,-87.66107732040031,6800 n sheridan rd,60626.0,5.0,10.0
87,ChIJpR2V8BXND4gRPy600MzMcyg,el capitan restaurant,41.91733689553147,-87.721449987074,3754-3758 w armitage ave,60647.0,4.1,42.0
88,ChIJUXzIKpYxDogRnbnEHYZ9W1A,el sombrero,41.80933272861339,-87.72349163256884,4611 s pulaski rd,60632.0,4.5,48.0
90,ChIJj9qgFCzOD4gRnwbBwXYB2uA,the main pizza,42.01192482773641,-87.70123045712496,2839 w touhy ave,60645.0,4.4,196.0
93,ChIJrcr26tAsDogR-8GTqB3rpjU,ace hotel chicago,41.88712191392366,-87.65203575962191,311-319 n morgan st,60607.0,4.6,822.0
94,ChIJXY5CiyctDogR8-v6307huWo,alhambra palace restaurant,41.88432780168576,-87.65845724300314,1240 w randolph st,60607.0,4.1,1125.0
95,ChIJXaUCWbUxDogRncafrBDgra0,palermo's restaurant,41.77863125454842,-87.71742437604965,3751 w 63rd st,60629.0,4.4,437.0
96,ChIJ4bJirsDOD4gRHBc7Q6VsMvw,city's edge bar & grill,41.997435233866156,-87.76125861652775,5310 w devon ave,60646.0,4.5,159.0
99,ChIJo9Vb9iLOD4gR8NIzMkXtE0k,delhi darbar,41.99757606083328,-87.70500110804562,3010 w devon ave,60659.0,3.9,396.0
104,ChIJ9eemRwgtDogR_EsmnDF1M4E,carnitas uruapan,41.85763234806772,-87.6697745345797,1725 w 18th st,60608.0,4.7,1530.0
108,ChIJk0ZwggrND4gRhLt0yJGJSos,cafe tacuba chicago,41.967983305405404,-87.74177611404262,4507 w lawrence ave,60630.0,4.3,7.0
109,ChIJQ6cCiIPMD4gR2Q-YfEDHkBk,avenida del sabor,41.931094868682656,-87.7713443827231,5805 w diversey ave,60639.0,4.2,132.0
110,ChIJ1cFlAp46DogR0uNpub-Lvkg,conte's pizza,41.738117520954034,-87.7216916107363,8512 s pulaski rd,60652.0,4.2,180.0
113,ChIJ4bCV89jTD4gRb0AoSPNPwQg,sea & olive,41.90331444109649,-87.6764167191003,1938-1940 w division st,60622.0,4.3,65.0
114,ChIJKxRagyzSD4gRI4qY0Rka_Aw,lao sze chuan,41.96995886314596,-87.65984317819886,4832 n broadway,60640.0,4.2,256.0
116,ChIJdfJsBUDOD4gRLe7ZJKLjYXU,via veneto,41.99647012267009,-87.7175038126524,6340 n lincoln ave,60659.0,4.3,206.0
117,ChIJ8U0rEmIsDogROcBPM_7xIL4,daebak korean bbq,41.85478377573143,-87.6327328095787,2017 s wells st,60616.0,4.3,712.0
118,ChIJqQyWfSa0D4gRN_IZ45o_HCE,argo tea,42.008536400868735,-87.91442843927048,11601 w touhy ave,60666.0,3.5,45.0
119,ChIJiUAZ5xLND4gRBG_Svxpnqz4,raymonds tacos no. 3,41.924694271720426,-87.71859337650946,3638 w fullerton ave,60647.0,4.3,96.0
121,ChIJz29MdHrND4gR5pq83uUZbVo,longman & eagle,41.930126115324036,-87.70723080718348,2657 n kedzie ave,60647.0,4.7,1929.0
122,ChIJTYZMDiotDogRvZPaS632PK0,jimmy johns,41.89176977820589,-87.65860461424934,520 n ogden ave,60642.0,3.8,51.0
124,ChIJ1TxkUvnRD4gRJYJ320Q9KOQ,mekato's colombian bakery,41.980205519802354,-87.6926003777661,5423 n lincoln ave,60625.0,4.5,587.0
125,ChIJS3nLocoxDogRUo8v-9k-9dE,los pekes ice cream & coffee shop,41.778855337866396,-87.71712584709125,3742 w 63rd st,60629.0,4.4,79.0
127,ChIJaeDsomDND4gRiwTMaTCG1TM,healthcare alternative systems,41.91707339369025,-87.70193043997543,1949 n humboldt blvd,60647.0,4.2,5.0
128,ChIJbcernpDSD4gRtKDGH8yR2y4,quesadilla la reina del sur inc,41.92271136874486,-87.6874275597316,2235 n western ave,60647.0,4.6,626.0
132,ChIJJYtx1jAsDogRvjrVCUAgao4,johnny o's,41.830791780461546,-87.65082245322775,3465 s morgan st,60608.0,4.2,222.0
133,ChIJjy-MvNPTD4gRkuZHiDgtPgo,antojos & shakes,41.90284877198458,-87.69306763647268,2627 w division st,60622.0,4.9,15.0
134,ChIJcRRjSCm0D4gRxJ7bVvbQtBM,frontera tortas  by rick bayless gate k4 t3,42.008536400868735,-87.91442843927048,11601 w touhy ave,60666.0,4.1,939.0
137,ChIJR6FXtZfSD4gRjJvLCYWO7Vg,floyd's pub,41.917458568356686,-87.6851026411648,1944 n oakley ave,60647.0,4.5,190.0
138,ChIJSb5z5t4tDogRe8PeMVTvDkA,taco lulu,41.879163618039705,-87.64264995953803,601 w adams st,60661.0,4.1,55.0
139,ChIJlSSuJNXTD4gR6KO1UEzrdew,"double happiness enterprises, inc.",41.97316839903074,-87.65736357565744,1061 w argyle st,60640.0,4.7,15.0
140,ChIJCSm5CUYwDogRKiWt4wsX5EM,dunkin donuts/baskin robbins,41.766871449399645,-87.72231683922517,6925 s pulaski rd,60629.0,4.1,61.0
141,ChIJsT3Fut_RD4gRdgJufFoRRWI,uru-swati,41.99751643797393,-87.69592211008249,2629 w devon ave,60659.0,3.8,502.0
142,ChIJ78NyRsUsDogR6AqyYoPrts4,au cheval,41.88451545836221,-87.64749730032112,800 w randolph st,60607.0,4.6,4695.0
143,ChIJLRNSnaEtDogRPvL7_wL6Fwg,bp,41.852071127711035,-87.67556229949928,1955 w cermak rd,60608.0,3.6,7.0
147,ChIJF5VonrjSD4gRBgGbmXf3hWU,urbanbelly wicker park,41.90942674415946,-87.67758328415117,1542 n damen ave,60622.0,4.4,394.0
154,ChIJY67C8EfLD4gRTZuqwPeFNRw,cafe hoang,41.90912535950115,-87.79562029285854,6818 w north ave,60707.0,4.4,106.0
156,ChIJh_oVv0QtDogRlRO5mTl-LuY,popeyes famous fried chicken,41.88263293865735,-87.686621829305,50 n western ave,60612.0,3.3,577.0
158,ChIJ__8739HSD4gRuKgGEgcnPvM,mariscos la costa,41.902539299640786,-87.66761746288637,1132 n ashland ave,60622.0,4.5,178.0
161,ChIJVR42WNksDogRntizbJVxpME,crosstown fitness,41.88157047910092,-87.65332321194828,1031 w madison st,60607.0,4.9,184.0
163,ChIJUd2L8trND4gRJZ9gTYiBhIQ,los asadores mexican grill,41.97582181741593,-87.71172940864521,3312 w foster ave,60625.0,5.0,5.0
164,ChIJY4TVKFQkDogR4mjVqRDBbLU,"home of the hoagy,inc",41.69231135890114,-87.6552682468684,1316 w 111th st,60643.0,4.1,1283.0
166,ChIJVfsb7Rg7DogRoZ5xFCSrzg4,firewater saloon mount greenwood,41.691406189233774,-87.71830607808162,3908 w 111th st,60655.0,4.2,326.0
169,ChIJi9juTI7JD4gRAH89Tqt81iA,kung fu wok restaurant,41.99496878030707,-87.78543707203039,6249 n milwaukee ave,60646.0,3.9,16.0
171,ChIJu1U9qsnSD4gRu1jZ4n1kTNY,red square,41.90333103206356,-87.67543391800302,1914-1916 w division st,60622.0,4.5,329.0
172,ChIJ7ThroxstDogRcgnRTuaTCrQ,golden thai,41.86918475349806,-87.66450967311361,1509 w taylor st,60607.0,4.4,274.0
177,ChIJwxSm6J4yDogRfdNjdyC2u9o,the  original maxwell st,41.87370411501883,-87.70086461713747,601 s sacramento blvd,60612.0,4.0,298.0
179,ChIJibzc3rYtDogRNFEVMQCu1vE,jason wok,41.86878383901945,-87.68624468790968,1014 s western ave,60612.0,4.8,9.0
185,ChIJ5_FPg4_RD4gRYqCP-6QJtMQ,tanoshii,41.98309881120602,-87.66852394399494,5547 n clark st,60640.0,4.5,250.0
189,ChIJI06KKzUtDogRNqs5Ha0G54w,roots handmade pizza,41.896044909585854,-87.67560484584318,1922-1924 w chicago ave,60622.0,4.3,955.0
190,ChIJVaF9pRstDogRs-PzIlSi4Rs,jubranos,41.86917813329072,-87.66490728096329,1519 w taylor st,60607.0,4.5,102.0
191,ChIJne25kwjND4gRatqWgG8TDqM,starbucks coffee ,41.967671015100265,-87.76759623699381,5601 w lawrence ave,60630.0,4.1,209.0
192,ChIJOQgJucbSD4gRgVXXEp8csFw,las palmas,41.91042962586729,-87.67394168112114,1835 w north ave,60622.0,4.4,268.0
199,ChIJ4xXTeZfSD4gR6QeZRvAMOkc,birrieria estilo jalisco inc.,41.922472275724004,-87.68771380635988,2230 n western ave,60647.0,4.4,292.0
203,ChIJpVx_DzjMD4gRvFIQLcx5gVI,i.h.o.p.,41.95742941661818,-87.74757441604942,4210 n cicero ave,60641.0,3.7,981.0
205,ChIJq6q6wLjSD4gROoqWFKpgB6Q,angry pig tavern,41.91034561901541,-87.67906657744264,2039-2041 w north ave,60647.0,4.5,166.0
206,ChIJBek4rsDSD4gRl_vkgCbqDnU,northside bar and grill,41.91151626874878,-87.67734069528593,1635-1637 n damen ave,60647.0,4.2,441.0
208,ChIJFRe8FPstDogRDmWvccThc-U,mcdonald's ,41.823158345079044,-87.68923664723573,3867 s archer ave,60632.0,3.6,1371.0
209,ChIJWU5qmL3SD4gRCQYHHxYtp7E,silom12,41.91490097692986,-87.6846674276531,1846-1848 n milwaukee ave,60647.0,4.4,163.0
210,ChIJRSn-ONe1D4gRai9JNZj47wM,gold coast dogs,42.008536400868735,-87.91442843927048,11601 w touhy ave,60666.0,3.8,438.0
212,ChIJRUPK8-_ND4gRVwrTsYcYnqQ,salam  restaurant,41.96571901742301,-87.70853756167853,4634-4636 n kedzie ave,60625.0,4.0,857.0
215,ChIJg66fHCe0D4gR44TuxP8UWCY,united club,42.008536400868735,-87.91442843927048,11601 w touhy ave,60666.0,3.7,428.0
220,ChIJF2f7353RD4gR6irbDQFlnqM,china palace,41.98992502738334,-87.65943957792769,1129 w thorndale ave,60660.0,3.6,108.0
224,ChIJLRbpVM7SD4gRGbrDwLRHcrQ,bangers & lace,41.903410014986854,-87.67029621760885,1670 w division st,60622.0,4.4,579.0
225,ChIJKXQZpXrLD4gRsc9IPF_36LY,ming brickyard super china buffet inc.,41.92884722332376,-87.7857810192012,2650 n narragansett ave,60639.0,4.0,449.0
226,ChIJe44dX3AtDogRubIB3j62c8s,burger king ,41.864646729615934,-87.68600251219546,2401-2407 w ogden ave,60608.0,3.6,208.0
227,ChIJMUPhAPoxDogReOLexgb0KeY,frank's chicago shrimp house,41.812181052065476,-87.70712481334274,4459 s archer ave,60632.0,4.5,213.0
228,ChIJ1zhOMHIuDogRyB8Aw1tcowI,la cecina restaurant,41.808630431592775,-87.67361893018992,1934 w 47th st,60609.0,4.1,482.0
230,ChIJvxctudAxDogRsjjV5X5VXFA,betty's icecream,41.78684434610169,-87.70350999751714,5840 s kedzie ave,60629.0,4.9,53.0
231,ChIJB5GjFaTTD4gRHD9V-8hB0-A,vanille pattisserie,41.941294180839144,-87.64429200618662,3243 n broadway,60657.0,4.6,136.0
232,ChIJ-aKXPgzTD4gRLor4Q1tfvr8,cafe vienna,41.92848737421647,-87.64204435669477,2523 n clark st,60614.0,4.3,276.0
233,ChIJj74yhxTTD4gRBdgIqda58zg,gemini bistro,41.920057536694095,-87.64101934425842,2075 n lincoln ave,60614.0,4.5,292.0
236,ChIJaRl6eNgsDogRf8lujStctCQ,lou malnati's pizzeria,41.884113576693956,-87.6580816735995,1235 w randolph st,60607.0,4.4,1322.0
237,ChIJTcDpnlHSD4gRZOaxJicTdjo,tuco & blondie,41.94330695630928,-87.66406138245193,3356-3358 n southport ave,60657.0,4.3,595.0
238,ChIJ-Ufji7zLD4gRonqmEoMu9sk,anthony's diner,41.945225909077436,-87.81607437620299,7544 w addison st,60634.0,5.0,5.0
239,ChIJudKeYtIsDogRfWhiR7GzovE,galleria marchetti,41.89324923448882,-87.64879205703045,825 w erie st,60642.0,4.4,189.0
242,ChIJRx_TgsAvDogRJjpEo7lUKeQ,taqueria mi pueblo,41.80100543752876,-87.68661612013952,2459 w 51st st,60632.0,4.7,49.0
244,ChIJfY9dm8U2DogRYoSruwpQoTg,the shrimp shack,41.79213894220009,-87.78674847587374,6601 w archer ave,60638.0,4.5,352.0
246,ChIJEQ9xRhDTD4gRp1djRjjsB8I,johnny's beef & gyros,41.92362446590992,-87.64642729029045,2300 n lincoln ave,60614.0,4.5,254.0
248,ChIJLwehLqovDogR-Nn3Z5VJJNY,chefshaun's hunger hideout,41.74987081545715,-87.68680008233818,2539 w 79th st,60652.0,5.0,3.0
249,ChIJWyc4-ozND4gRYGmcEotDMis,tano's pizzeria,41.954050096788976,-87.70472907257313,3038 w irving park rd,60618.0,4.4,123.0
254,ChIJmQvfksvTD4gRafdwOI7HfhY,pizza-metro,41.90319053056459,-87.67029008677444,1707 w division st,60622.0,5.0,1.0
259,ChIJ8yetOQXTD4gRHp_6Nm83kg0,qdoba mexican eats ,41.932531176231386,-87.65370947965263,957 w diversey pkwy,60614.0,4.3,271.0
261,ChIJ4QZeuxvMD4gRyscApg13-OQ,mcdonald's,41.9706775856096,-87.76342894418006,4946 n milwaukee ave,60630.0,3.6,804.0
262,ChIJgTgrrPrMD4gR2_8oNRNQyzA,restaurante y tamaleria la bendicion inc,41.92809931574407,-87.74630655430202,2567 n cicero ave,60639.0,4.4,68.0
263,ChIJWQwINsQtDogRQvFqTEb7llc,siri indian restaurant,41.86939628798951,-87.66499334444555,1520 w taylor st,60607.0,4.4,341.0
264,ChIJ8b4wTs7SD4gR_Qgol2aC7bU,5411 empanadas,41.90319824225925,-87.66979533648626,1659 w division st,60622.0,4.5,190.0
265,ChIJVR_s6bLTD4gRE48xLsrwvIM,cubby bear lounge ltd,41.947085343828114,-87.65663783493278,1059-1065 w addison st,60613.0,4.1,836.0
268,ChIJgQw0jYvRD4gRXORjbUrNq4s,pauline's restaurant,41.97985969467416,-87.67427781349596,1754 w balmoral ave,60640.0,4.5,434.0
269,ChIJYZ60zNgwDogRQSZMiebQQI4,the chg bear sports bar/grill,41.777047434817106,-87.76153944156653,6335 s central ave,60638.0,4.3,53.0
271,ChIJ0ZFty-EsDogRHoKLStDzB8E,jade court chinese restaurant,41.87352003005835,-87.65696051450144,624-628 s racine ave,60607.0,4.3,193.0
272,ChIJRYk3wpUtDogR4v7HM1rs_qc,jackie's mexican cuisine,41.83598843774932,-87.64608160187807,3207 s halsted st,60608.0,4.4,57.0
275,ChIJv2NPdZbSD4gRouXPbrFYvHo,antico,41.917557317725546,-87.68266439539492,1946 n leavitt st,60647.0,4.7,132.0
276,ChIJmTyEUSDOD4gRl0ZxMKK6Cjo,mr. falafel,41.9977637602161,-87.6997957219191,6404 n california ave,60645.0,4.7,329.0
280,ChIJeXTItBvMD4gRJ4hG5yqifss,gale street inn,41.970011678252355,-87.76279618588528,4914 n milwaukee ave,60630.0,4.6,834.0
281,ChIJIVrbHPjMD4gRQfUHdZXic5U,estrella blanca,41.93666807129704,-87.74665459887675,3049 n cicero ave,60641.0,3.9,29.0
282,ChIJ_bSNqsTSD4gRiY1MNGnZ4vQ,tarboush mediterranean grill,41.9107340942111,-87.66809336341993,1608 w north ave,60622.0,4.4,143.0
286,ChIJp3INTqYlDogRhd2yf71gnVI,uncle joe's jerk chicken & fish,41.7084285331549,-87.65556641692646,10210 s vincennes ave,60643.0,3.7,286.0
287,ChIJTVmt6vPMD4gRLDG3F5Tljq4,zacatecas restaurant,41.93133655338099,-87.75299705381228,5037-5039 w diversey ave,60639.0,4.1,183.0
289,ChIJcWh97kfJD4gR9zRthArTV6A,superdawg drive-in inc,41.99660885982106,-87.78699944881153,6363 n milwaukee ave,60646.0,4.5,2941.0
291,ChIJD8OBkdcsDogRxVk2nPDC6-g,pizzeria del mercato,41.88678769586561,-87.65669394874121,1154 w fulton market,60607.0,4.0,27.0
292,ChIJVSqYBt3RD4gRYGhqSbNd4II,khan bbq restaurant,41.997618688841094,-87.6899394819467,2401-2405 w devon ave,60659.0,3.9,569.0
293,ChIJeym-q3EtDogRPbhJ8DgEfOk,ballast point brewing company,41.886083491794274,-87.6488012338551,212 n green st,60607.0,4.3,291.0
294,ChIJOxXGyFAtDogR7u-PLnGpdPM,lao peng you llc,41.89600469987965,-87.6779378973854,2020 w chicago,60622.0,4.9,10.0
295,ChIJ5Rvh3VLSD4gR-ctsHolPXjs,two hearted queen,41.945503653310645,-87.64957851411022,3500 n halsted st,60657.0,4.8,333.0
307,ChIJ3b--t57SD4gRPhcckb2w6wg,taqueria los comales ,41.920182838435146,-87.69313904053791,2148 n milwaukee ave,60647.0,3.7,505.0
311,ChIJJ1U7SsYsDogR52EkVJFBDzI,le pain quotidien,41.88431283109331,-87.64112326659475,135 n clinton,60661.0,4.3,87.0
313,ChIJP8PLLfLSD4gRzo2BPk1tiQg,taco  bell ,41.92866902058592,-87.67377920462141,2575 n clybourn ave,60614.0,3.9,706.0
316,ChIJMxmsexItDogRAC6u3uKK1FY,illinois center for rehabilitation and education-r,41.86687083903885,-87.6758133783677,1950 w roosevelt rd,60608.0,4.4,9.0
319,ChIJDdJ9yqjTD4gR8hwIA_w6Dlc,poke poke,41.94008901097665,-87.6493912545656,802 w belmont ave,60657.0,4.7,104.0
321,ChIJwcMQoK_TD4gRA_2Hx7qSuu4,nookies tree ltd,41.94281448841558,-87.64950812514198,3334 n halsted st,60657.0,4.4,257.0
322,ChIJm1MK2rotDogRUDJC6QVaPMA,harold's chicken ,41.862678912114326,-87.62419160244413,1450 s michigan ave,60605.0,4.7,6.0
324,ChIJ3V69u7fTD4gRV3EyfyXDnmY,windy city gyros,41.953715918659405,-87.65014628741659,3932 n broadway,60613.0,4.3,591.0
327,ChIJnehl07nND4gROaw-ONd2Eb8,independence tap,41.95377450976464,-87.7264587067583,3932-3934 w irving park rd,60618.0,4.5,126.0
328,ChIJocxdT6osDogRDhLvXIwloUY,halsted street deli,41.892274965646884,-87.62009879454878,541 n fairbanks ct,60611.0,3.3,12.0
329,ChIJyaEwrW8tDogRxoGYX687qvE,lou malnati's,41.8898747912625,-87.62425976144405,410 n michigan ave,60611.0,4.5,14.0
333,ChIJf7wA2gHTD4gRdVIS7dWafkk,sarpino's pizzeria,41.9324618093209,-87.65783274822834,1149 w diversey pkwy,60614.0,4.1,169.0
334,ChIJ1wfVjqgtDogRG4qUJkqHKkg,shu tin xia,41.848386251232185,-87.64196007758322,2428-2436 s wallace st,60616.0,4.6,13.0
335,ChIJs2Tl_BzTD4gRJmzetdts-vQ,cafe bonne sante,41.92230468172915,-87.64850216798372,2215 n halsted st,60614.0,5.0,2.0
336,ChIJ908aKunTD4gRGsTOB-Hmm2Q,etta,41.910645574433396,-87.67420058686103,1840-1842 w north ave,60622.0,4.7,380.0
337,ChIJXyqg9e_PD4gRVSt9Npl1D0U,shinwari grill,41.9975929860972,-87.7040346324575,2948-2950 w devon ave,60659.0,4.4,69.0
338,ChIJjZgBcSe0D4gR3SY0WFbtMY8,ice bar,42.008536400868735,-87.91442843927048,11601 w touhy ave,60666.0,3.3,7.0
340,ChIJq8XcsKjTD4gR3gpb-WSH15c,peking chinese food,41.939814005246774,-87.64911458899103,3167 n halsted st,60657.0,3.6,72.0
344,ChIJy1w-FtosDogRKGBXuEUhF1g,sweetgreen,41.88443496492766,-87.65216554670809,1000 w randolph st,60607.0,4.4,168.0
346,ChIJuZYRJ8DSD4gRdJuh5-8ngjg,lottie's pub,41.915854880451626,-87.6762179092616,1925 w cortland st,60622.0,4.4,687.0
347,ChIJZz5jkKktDogRQeSMqQ6QH4w,fran's beef,41.854572220124695,-87.66378596101777,2021 s blue island ave,60608.0,4.6,63.0
348,ChIJw_oVr4rRD4gRbulwmWXgt10,china kitchen,41.97594611753842,-87.67772574573549,1931 w foster ave,60640.0,3.8,42.0
349,ChIJqe6FYjMxDogRoGm9jPJPl4k,"three sons restaurant, inc.",41.79394204830804,-87.77463321494591,6200 s archer ave,60638.0,4.5,511.0
350,ChIJnUaZB9TTD4gROAfpZdmSe60,soul crab chicago,41.91593071729015,-87.68751557795046,1904 n western ave,60647.0,3.6,139.0
351,ChIJe1J34mswDogRF2fh-2t7tzo,white castle ,41.749014401931134,-87.72204098184092,7912 s pulaski rd,60652.0,3.7,565.0
352,ChIJ0TXxlQPSD4gRf2WWPKa-Azs,groundswell coffee roasters,41.97209297588227,-87.6909582633662,5008 n lincoln ave,60625.0,4.5,116.0
353,ChIJw0cVUdHSD4gRZADPW6blGZY,the frontier,41.90128364339324,-87.66348362488466,1072 n milwaukee ave,60642.0,4.4,731.0
354,ChIJGxK-0agtDogRLlXtAIrRv3I,manjares al express,41.8513977997122,-87.66616621226515,2226-2230 s ashland ave,60608.0,4.3,488.0
355,ChIJr1YcKwHJD4gRBv50YlI4Yz4,lotus garden,42.01177151609754,-87.80880368336393,7254 w touhy ave,60631.0,3.8,14.0
356,ChIJJQQzGSvSD4gR1cgLInIH5yQ,le's pho,41.9722135569909,-87.65960910010729,4925 n broadway,60640.0,4.0,253.0
358,ChIJi4LnEbfND4gRKaCUdngM8AE,shokran,41.95353192936301,-87.72833818191091,4027 w irving park rd,60641.0,4.5,303.0
360,ChIJAbN-ArIsDogRqx7ytXesgCc,rockit bar & grill,41.89016136574744,-87.62884924184334,22 w hubbard st,60654.0,4.0,662.0
361,ChIJm8Yhi63TD4gRwbyjIB4HrSY,cozy noodles & rice,41.945108104331005,-87.65441181641037,3456 n sheffield ave,60657.0,4.5,558.0
362,ChIJpdW-ZMI2DogRRaJJ0vbA1V8,taco bell ,41.79218559796885,-87.79580846844715,6944 s archer ave,60638.0,3.7,333.0
365,ChIJYYqxZLosDogR7gK7KPdEe1s,new orleans kitchen,41.88458626715457,-87.63101044588598,100 w randolph st,60601.0,4.0,175.0
