,DBA Name,Latitude,Longitude,Address,Zip
38482,legend spicy bar,41.849206103100016,-87.63207983842298,2358 s wentworth ave ,60616.0
38508,juice house,41.858006318738546,-87.66002191544601,1324 w 18th st ,60608.0
38513,sully's house,41.90861972732258,-87.64929457094324,1501 n dayton st ,60622.0
38536,nature fountain health,41.91744251163329,-87.71271522990548,3418 w armitage ave ,60647.0
38544,auntie annie's pretzels,41.88199433820508,-87.6397586848809,500 w madison st ,60661.0
38554,jj fish & grocery inc.,41.76443108779264,-87.69296412238829,2759 w 71st st ,60629.0
38556,narys grill & pizza,41.81659663170266,-87.70039260516798,4230 s archer ave ,60632.0
38559,starbucks coffee ,41.899030981951704,-87.62819227491327,1 e delaware pl ,60611.0
38570,benchwarmers sports bar and grill,41.910751865596865,-87.66689090396886,1540 w north ave ,60622.0
38605,ay chiwowa,41.89645685790188,-87.63618117278183,311 w chicago ave ,60654.0
38646,fonda dona chio,42.00678208236228,-87.67359749944175,6906 n clark st ,60626.0
38661,riques cocina mexicana,41.9734781495112,-87.65507958945189,5004 n sheridan rd ,60640.0
38663,frank's rib place inc.,41.891546102788155,-87.74583186684967,604 n cicero ave ,60644.0
38665,coffee joint,41.95401196536202,-87.68111928325516,2059 w irving park rd ,60618.0
38670,rib place inc.,41.887106177538534,-87.76543552121103,5607 w corcoran pl ,60644.0
38683,taxim,41.909738341123855,-87.6766926547393,1558 n milwaukee ave ,60622.0
38686,"silver cipher, llc",41.94005906145869,-87.66397650182503,3208-3210 n southport ave ,60657.0
38697,dany's tacos,41.83908026995743,-87.7120582660803,2857 s st louis ave ,60623.0
38698,canteen @ west side tech institute,41.84111017537837,-87.68542554468728,2800 s western ave ,60608.0
38699,panaderia y pizzeria la villa,41.92425666505584,-87.7532575799249,5050-5054 w fullerton ave ,60639.0
38700,schwa,41.908918620319604,-87.66779136577513,1466 n ashland ave ,60622.0
38703,la trucha arcoiris,41.8092222200462,-87.70416555919478,4622 s kedzie ave ,60632.0
38706,remis barbque and chicken,41.888592146069605,-87.75551402229324,430 n laramie ave ,60644.0
38713,chuchos on addison inc,41.944923307110784,-87.82644772401942,7955 w addison st ,60634.0
38715,club la  villta,41.84642260515308,-87.70524354729095,2458 s kedzie ave ,60623.0
38717,ellen's kitchen,41.92171949880178,-87.66501942398848,1450 w webster ave ,60614.0
38741,"roseangelis, inc.",41.92898686241029,-87.66167991913971,1314 w wrightwood ave ,60614.0
38742,no place like snarf's llc,41.922056115810044,-87.64381082771763,2201 n lincoln ave ,60614.0
38743,takos koreanos,41.976242134828354,-87.6724268472438,1706-1708 w foster ave ,60640.0
38744,the atlantic bar & grill,41.973412392669466,-87.69181746370495,5062 n lincoln ave ,60625.0
38750,libero cafe,41.97372549869574,-87.692020889653,5074-5076 n lincoln ave ,60625.0
38755,smok'n bunz,41.888592146069605,-87.75551402229324,430 n laramie ave ,60644.0
38757,sweet potato patch inc,41.89494199271389,-87.76687933825815,5638 w chicago ave ,60651.0
38786,annoyance productions,41.93984334583632,-87.65125514003167,851-53 w belmont ave ,60657.0
38794,jim noodle & rice,41.93309489915893,-87.65924889555305,2819 n lincoln ave ,60657.0
38810,the coffee shop,41.99808610722215,-87.65988357906063,1135 w sheridan rd ,60660.0
38813,birrieria aguscalientes,41.92397325927494,-87.75798631267563,5245 w fullerton ave ,60639.0
38816,birrieria de la torre,41.777684614032175,-87.72288294447826,6330 s pulaski rd ,60629.0
38832,xuan tea,41.914261446310334,-87.68368604555803,1812 n milwaukee ave ,60647.0
38833,mas,41.88325552479081,-87.64743608013544,800 w washington ,60607.0
38919,cafe chien,41.96805858903535,-87.7107635853105,4749 n spaulding ave ,60625.0
38937,the brealfast lounge,41.92481591349683,-87.6690732490633,2360-2362 n clybourn ave ,60614.0
38966,new china restaurant 2,41.94591210546262,-87.68808803317516,3533 n western ave ,60618.0
38970,duke's chicago bar and grill,41.93003429737251,-87.64364088983776,2616 n clark st ,60614.0
39047,the queen mary,41.90301995592609,-87.6807273446013,2125 w division st ,60622.0
39064,los tres angeles de la salud,41.924734527799004,-87.71525002505764,3514 w fullerton ave bldg ,60647.0
39118,aramark-freshii,41.9298489965969,-87.684643783527,2656 n elston ave ,60647.0
39149,progo,41.981910361685216,-87.6683116666904,5507 n clark st ,60640.0
39175,shabowl,41.918261583575294,-87.65029313626188,844 w armitage ave ,60614.0
39179,de colores,41.85918260635193,-87.64682982484354,1626 s halsted st ,60608.0
39200,atlantis services,41.909370115706906,-87.77505860847639,5952 w north ave ,60639.0
39244,levy(events)limited partnership,41.887920731996346,-87.63235953008896,315 n la salle dr ,60654.0
39295,outtakes,41.881806960065425,-87.62954311539406,10 s dearborn st fl ,60603.0
39308,rodan,41.90924319069685,-87.6759186557237,1530 n milwaukee ave ,60622.0
39345,los cuatro jalapenos,41.851964029125455,-87.69882966389456,2880 w cermak rd ,60623.0
39355,the southern,41.910645574433396,-87.67420058686103,1840-1842 w north ave ,60622.0
39379,green bean,41.92557911972458,-87.64768921320083,734 w fullerton ave ,60614.0
39388,santullo's eatery,41.91038685926323,-87.67683123852463,1943-1945 w north ave ,60622.0
39400,beef shack,41.93998540683519,-87.6563946938417,1056 w belmont ave ,60657.0
39411,jerky jerk,41.99807015118323,-87.6613207100831,1217 w devon ave ,60660.0
39430,standard bar & grill,41.905884720172246,-87.67066508510808,1332 n milwaukee ave ,60622.0
39436,kilwins chocolates fudge and ice cream,41.8779878069696,-87.62445980070322,310 s michigan ave ,60604.0
39437,"plazzio's pizza restaurant, inc.",41.915727954576056,-87.6870786651309,1889-1891 n winnebago ave ,60647.0
39448,sugar bliss patisserie,41.88022078245181,-87.62630109611023,122 s wabash ave ,60603.0
39457,light house,41.79939802477482,-87.59217413474705,1373 e 53rd st ,60615.0
39478,stackd,41.88045831834425,-87.65592033290883,1130 w monroe st ,60607.0
39507,black rock pub,41.947321660153655,-87.67871173244984,3614 n damen ave ,60618.0
39528,bow truss coffee roaster,41.95333998629583,-87.73202749084835,3982 n avondale ave ,60641.0
39531,feast,41.91097377355574,-87.67762165938251,1616 n damen ave ,60647.0
39539,mariscos el veneno,41.771671045410905,-87.72243673712204,6651 s pulaski rd ,60629.0
39543,jubba restaurant inc.,41.90393925863843,-87.63610772554479,236 w division st ,60610.0
39580,del campos restaurant,41.85167176186417,-87.70397302628801,3125 w cermak rd ,60623.0
39591,starbucks coffee ,41.88508945576888,-87.63840559417187,150 n riverside plz ,60606.0
39615,"andiamo's o'hare, llc",42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
39618,shambles bar,41.903263620886506,-87.67927826952334,2050 w division st ,60622.0
39622,maki masters,41.94014913764849,-87.6446627167078,604 w belmont ave ,60657.0
39710,starbucks coffee ,41.879885440300995,-87.62921159480324,131 s dearborn st ,60603.0
39718,ace icre wood street,41.866959258612646,-87.67120734790838,1151 s wood st ,60612.0
39723,bella 'mbriana caffe,41.96691374122208,-87.66723233053568,4656 n clark st ,60640.0
39758,haywood tavern,41.899173183606074,-87.69672978333594,2759 w augusta blvd ,60622.0
39830,patron's hacienda,41.89406892311773,-87.63641744461067,316-318 w erie st ,60654.0
39839,la piramide restaurant,41.96821956460815,-87.72008438172483,3645 w lawrence ave ,60625.0
39841,moxee,41.864907707409344,-87.64574932534391,716 w maxwell st ,60607.0
39858,essence of care,41.96489989744986,-87.65731748124071,4548 n broadway ,60640.0
39887,casita de nieve,42.007932100342174,-87.67100362889559,1622 w morse ave ,60626.0
39952,tacos don gabino,41.771793603366426,-87.70230227676349,3144 w marquette rd ,60629.0
39956,"steak and hoagie , inc",41.88080415817653,-87.72824442169659,4100 w madison st ,60624.0
39957,uncle sammy's sandwich classics,41.92516402242197,-87.65966653321956,1231 w fullerton ave ,60614.0
39971,the parthenon restaurant inc,41.87746697060908,-87.64737445971156,314 s halsted st ,60661.0
39981,moe's  southwest grill,41.91655029829403,-87.65716548065451,1953 n clybourn ave ,60614.0
39986,pint,41.909708169072815,-87.67619367559715,1547-1549 n milwaukee ave ,60622.0
39995,thai thank you,41.94091910339643,-87.66968716962636,3248 n lincoln ave ,60657.0
40009,aviva restaurant,41.87759408077344,-87.64738020966664,310 s halsted st ,60661.0
40036,"block 37 cta donuts inc.,",41.88342263701489,-87.62802165207536,108 n state st ,60602.0
40039,lugano's pizza,41.811845845939644,-87.70426833410366,4460 s kedzie ave ,60632.0
40075,le cafe,41.96641308847062,-87.68693718914149,4655 n lincoln ave ,60625.0
40086,kyus,41.89907980640727,-87.66722805715764,939 n ashland ave ,60622.0
40091,kick,41.9522378735577,-87.6778041059911,1939-1943 w byron st ,60613.0
40097,high-hat club,41.954286695691366,-87.67720518471182,1920 w irving park rd ,60613.0
40098,damn fine coffee bar,41.91724282141809,-87.71100706313332,3317 w armitage ave ,60647.0
40118,bolat african cuisine,41.942855635032686,-87.65319556965025,3346 n clark st ,60657.0
40128,pierogi street,41.90063956353709,-87.69667798280054,1043 n california ave ,60622.0
40149,george's hot dog,41.91595533037147,-87.6777277973711,1876 n damen ave ,60647.0
40160,starbucks coffee  ,41.932686027627966,-87.64511954699455,639 w diversey pkwy ,60614.0
40184,books a million,41.879568727752414,-87.6309711130592,144 s clark st ,60603.0
40192,maxwell inn,41.883052886559646,-87.64468860442474,651 w washington blvd ,60661.0
40200,club allegria,41.92433227944501,-87.74757042043035,4830 w fullerton ave ,60639.0
40207,liberty cafe inc.,41.96869167173921,-87.71078092200098,4807 n spaulding ave ,60625.0
40209,thai aroma inc,41.95798395215896,-87.65289437913421,4142 n broadway ,60613.0
40268,zee's,41.937859427847215,-87.82625503087803,7958 w belmont ave ,60634.0
40288,subway ,41.88052826494154,-87.63556938091432,309 w monroe st ,60606.0
40302,mila 1,41.881966448755705,-87.64127582547708,540 w madison st ,60661.0
40306,kyoto lincoln park restaurant,41.92550053743645,-87.63917880349767,401-403 w fullerton pkwy ,60614.0
40323,flying saucer,41.901885044063675,-87.69670612650997,1123 n california ave ,60622.0
40334,donut delight,41.91348310226821,-87.69722763748906,1750 n california ave ,60647.0
40356,lapilluelita  demicoacan,41.77900603952042,-87.70779461927462,3356 w 63rd st ,60629.0
40383,la cocina de dona chuy inc.,41.84832465538536,-87.67343415669363,2404 s wolcott ave ,60608.0
40396,new chicago restaurant,41.97413796982922,-87.68923601790834,5100 n western ave ,60625.0
40450,portage grounds coffee & tea,41.95310072916454,-87.76465692606169,5501 w irving park rd ,60641.0
40472,fairfield inn & suites - downtown chicago,41.893478719765525,-87.62221752856762,216 e ontario st ,60611.0
40476,sea shell restaurant,41.722293289261756,-87.58043246846964,1753 e 95th st ,60617.0
40503,fairfield inn,41.893478719765525,-87.62221752856762,216 e ontario st ,60611.0
40519,gio's sports bar,41.97042959055041,-87.6790866593087,4857 n damen ave ,60625.0
40584,shultz wings & hoage ii inc,41.69249528873923,-87.6207213060549,107 e 111th st ,60628.0
40595,"buba -la frozen yogurt, llc",41.79121288117985,-87.72325217418572,5604 s pulaski rd ,60629.0
40596,starbucks coffee ,41.88310096249641,-87.63126322078455,111 w washington st ,60602.0
40602,efes restaurant,41.93368774378592,-87.64445413171819,2833 n broadway ,60657.0
40665,fanny may candies,41.88366906613137,-87.6260854111413,117 n wabash ave ,60602.0
40721,"mcdonald's rest. of illinois, inc",41.922931042553756,-87.74611947794305,2317 n cicero ave ,60639.0
40731,i monelli trattoria pizzeria,41.97291161859551,-87.68890203932803,5019 n western ave ,60625.0
40736,hyderabad kabab corner inc.,41.997334872776214,-87.69123961702296,6348 n artesian ave ,60659.0
40741,ino's pizzeria incorporated,41.990585629172756,-87.6698696819702,5973 n clark st ,60660.0
40743,t's paisans pizza & grill ii,41.99016589063192,-87.6583208643017,1100-1102 w thorndale ave ,60660.0
40755,golden apple cafe & bakery,41.84886788715507,-87.63178011327585,2409 s wentworth ave ,60616.0
40777,nordstrom espresso bar,41.891590741083505,-87.62586713724458,55 e grand ave ,60611.0
40825,hatsu hana restaurant,41.93877852533578,-87.64450311758098,3136 n broadway ,60657.0
40862,taylor made pizza,41.869513458071964,-87.6575526165909,1220 w taylor st ,60607.0
40879,good food health center,41.7626185060192,-87.5766815692251,1966 e 73rd st ,60649.0
40887,sweet apple chinesefood inc.,41.909951000037296,-87.72961452399186,4116 w north ave ,60639.0
40894,starbucks coffee ,41.917593663833216,-87.68021179332268,2101 w armitage ave ,60647.0
40902,nutricion total,41.93868859359603,-87.76612343785887,5550 w belmont ave ,60641.0
40911,the pita pit,41.925519099099496,-87.64907013845293,2404 n lincoln ave ,60614.0
40917,earth's healing cafe,41.961580737470676,-87.67765176892023,1942 w montrose ave ,60613.0
40945,target store ,41.9465389829682,-87.7020848861415,2939 w addison st ,60618.0
40969,over easy cafe,41.97185620105221,-87.67913255021972,4943 n damen ave ,60625.0
